Sample,nm,zhang,ssdr,ours
procySTEM_Jump1_cam1,0.3068238250229413,0.6169571418764875,0.2836197649384571,0.3072176236480617
bear9AK_RunleftRM_cam1,0.3603689576632269,0.4648568684473692,0.7398341253917362,0.2757167470470791
markerman_StandingDodgeRight_cam1,0.2402762509707042,0.43688719477408,0.4137726213079091,0.0777945925402232
deerFEL_WalkbackRM_cam2,0.2139874275548933,0.4147802145999615,0.2712816138883345,0.2126133637279843
foxYSY_JumplandingRM_cam2,0.1479046432467071,0.4436055082643527,0.4244531171010919,0.1862800506429374
rabbit7L6_Sleep_cam2,0.2200853429299053,0.1998300237438172,0.223682226685376,0.1594442871652056
bear84Q_Agression_cam2,0.359630808916538,0.2223388207802817,0.2223388207802817,0.3276104489276896
foxYSY_hitfront_cam1,0.1697428784635642,0.1011942913698858,0.0992183349055794,0.082959141042437
doggieMN5_JumplandingRM_cam2,0.1675799820609442,0.4325683570792777,0.3968067888542634,0.052594901238955
rabbit7L6_Attack1_cam2,0.352410495760129,0.5045849848287545,0.7561032720202545,0.1777985441533529
pumaRW_Swim8_cam1,0.2526544098877125,0.2689797390381234,0.506494149076603,0.2820995015921247
elephantLN0_act1_cam2,0.2140877653821247,0.2820313518748151,0.1553392745949522,0.200297101070582
bear3EP_Hitmiddle_cam1,0.157244664136583,0.2679273241097281,0.0657879476864756,0.0484384983349375
mousey_FemalePeekAndAim_cam2,0.1910852158110697,0.2300115639748141,0.2436644068925724,0.2323394194114993
hogRD_Attack3_cam1,0.2145073746042448,0.5082635277214986,0.3825877145269992,0.2596745124261029
foxYSY_Crouchright_cam2,0.2393721742241662,0.4887492601829539,0.318581665973198,0.2032327538664157
raccoonVGG_Swim10_cam1,0.2385312265628459,0.5265708904047168,0.1613284405914795,0.1284848550014382
doggieMN5_Jump_cam1,0.2965317906915033,0.1012295477669556,0.329205081116704,0.0799176111963374
bear3EP_attack1_cam2,0.1996314617411757,0.4565478533051811,0.1439267175702224,0.1696103023453854
deerLO1_AttackRunRM_cam2,0.2980379776573166,0.7283065801608506,0.2559236016046404,0.2120708248933137
procySTEM_WalkTwoFeet4_cam1,0.3284250873076536,0.4746192265716246,0.2255577528703487,0.2329597723420342
